meta_time,telemetry_name,telemetry_value
2025-09-06T18:40:05.0730Z,gear,3.0
2025-09-06T18:40:05.0730Z,speed,146.06
2025-09-06T18:40:05.0730Z,pbrake_f,0.0
2025-09-06T18:40:05.0730Z,pbrake_r,0.0
2025-09-06T18:40:05.0730Z,VBOX_Lat_Min,33.53038024902344
2025-09-06T18:40:05.0730Z,accx_can,-0.092
2025-09-06T18:40:05.0730Z,Steering_Angle,20.8
2025-09-06T18:40:05.0730Z,VBOX_Long_Minutes,-86.62077331542969
2025-09-06T18:40:05.0730Z,accy_can,0.5710000000000001
2025-09-06T18:40:05.0730Z,aps,0.0
2025-09-06T18:40:05.0740Z,pbrake_f,9.065
2025-09-06T18:40:05.0740Z,pbrake_r,9.49
2025-09-06T18:40:05.0740Z,speed,145.73
2025-09-06T18:40:05.0740Z,VBOX_Lat_Min,33.530357360839844
2025-09-06T18:40:05.0740Z,accx_can,-0.351
2025-09-06T18:40:05.0740Z,Laptrigger_lapdist_dls,2660.0
2025-09-06T18:40:05.0740Z,VBOX_Long_Minutes,-86.62083435058594
2025-09-06T18:40:05.0740Z,Steering_Angle,15.4
2025-09-06T18:40:05.0740Z,aps,0.0
2025-09-06T18:40:05.0740Z,gear,3.0
2025-09-06T18:40:05.0740Z,nmot,6531.0
2025-09-06T18:40:05.0740Z,accy_can,0.634
2025-09-06T18:40:05.2120Z,accy_can,0.674
2025-09-06T18:40:05.2120Z,nmot,6638.0
2025-09-06T18:40:05.2120Z,aps,0.0
2025-09-06T18:40:05.2120Z,Steering_Angle,15.4
2025-09-06T18:40:05.2120Z,gear,3.0
2025-09-06T18:40:05.2120Z,speed,143.23
2025-09-06T18:40:05.2120Z,pbrake_f,9.56
2025-09-06T18:40:05.2120Z,accx_can,-0.356
2025-09-06T18:40:05.2120Z,VBOX_Lat_Min,33.53032684326172
2025-09-06T18:40:05.2120Z,pbrake_r,9.934999999999999
2025-09-06T18:40:05.2120Z,VBOX_Long_Minutes,-86.62090301513672
2025-09-06T18:40:05.2120Z,Laptrigger_lapdist_dls,2668.0
2025-09-06T18:40:05.2130Z,Steering_Angle,15.5
2025-09-06T18:40:05.2130Z,accx_can,-0.363
2025-09-06T18:40:05.2130Z,accy_can,0.6890000000000001
2025-09-06T18:40:05.2130Z,aps,0.0
2025-09-06T18:40:05.2130Z,VBOX_Lat_Min,33.53031539916992
2025-09-06T18:40:05.2130Z,pbrake_f,10.025
2025-09-06T18:40:05.2130Z,pbrake_r,10.24
2025-09-06T18:40:05.2130Z,VBOX_Long_Minutes,-86.62092590332031
2025-09-06T18:40:05.2130Z,gear,3.0
2025-09-06T18:40:07.4060Z,VBOX_Long_Minutes,-86.6209716796875
2025-09-06T18:40:07.4060Z,pbrake_f,11.87
2025-09-06T18:40:07.4060Z,VBOX_Lat_Min,33.530296325683594
2025-09-06T18:40:07.4060Z,accy_can,0.641
2025-09-06T18:40:07.4060Z,accx_can,-0.397
2025-09-06T18:40:07.4060Z,aps,0.0
2025-09-06T18:40:07.4060Z,pbrake_r,12.115
2025-09-06T18:40:07.4060Z,Steering_Angle,15.6
2025-09-06T18:40:07.4060Z,gear,3.0
2025-09-06T18:40:07.4070Z,Laptrigger_lapdist_dls,2688.0
2025-09-06T18:40:07.4070Z,gear,3.0
2025-09-06T18:40:07.4070Z,VBOX_Long_Minutes,-86.62104797363281
2025-09-06T18:40:07.4070Z,accy_can,0.796
2025-09-06T18:40:07.4070Z,Steering_Angle,35.0
2025-09-06T18:40:07.4070Z,aps,0.0
2025-09-06T18:40:07.4070Z,pbrake_f,0.0
2025-09-06T18:40:07.4070Z,pbrake_r,0.0
2025-09-06T18:40:07.4070Z,speed,139.54500000000002
2025-09-06T18:40:07.4070Z,VBOX_Lat_Min,33.530256271362305
2025-09-06T18:40:07.4070Z,accx_can,-0.174
2025-09-06T18:40:07.4070Z,nmot,6352.0
2025-09-06T18:40:07.4080Z,accy_can,1.1055000000000001
2025-09-06T18:40:07.4080Z,Laptrigger_lapdist_dls,2703.0
2025-09-06T18:40:07.4080Z,accx_can,-0.18
2025-09-06T18:40:07.4080Z,pbrake_r,0.0
2025-09-06T18:40:07.4080Z,aps,2.37
2025-09-06T18:40:07.4080Z,Steering_Angle,32.75
2025-09-06T18:40:07.4080Z,nmot,6167.0
2025-09-06T18:40:07.4080Z,VBOX_Long_Minutes,-86.62118148803711
2025-09-06T18:40:07.4080Z,pbrake_f,0.0
2025-09-06T18:40:07.4080Z,VBOX_Lat_Min,33.53017807006836
2025-09-06T18:40:07.4080Z,speed,136.68
2025-09-06T18:40:07.4080Z,gear,3.0
2025-09-06T18:40:07.4090Z,VBOX_Lat_Min,33.53007888793945
2025-09-06T18:40:07.4090Z,nmot,6257.0
2025-09-06T18:40:07.4090Z,aps,45.76
2025-09-06T18:40:07.4090Z,speed,134.31
2025-09-06T18:40:07.4090Z,VBOX_Long_Minutes,-86.62132263183594
2025-09-06T18:40:07.4090Z,pbrake_f,0.0
2025-09-06T18:40:07.4090Z,accx_can,0.087
2025-09-06T18:40:07.4090Z,gear,3.0
2025-09-06T18:40:07.4090Z,accy_can,1.224
2025-09-06T18:40:07.4090Z,Steering_Angle,49.7
2025-09-06T18:40:07.4090Z,Laptrigger_lapdist_dls,2718.0
2025-09-06T18:40:07.4090Z,pbrake_r,0.0
2025-09-06T18:40:07.4100Z,accx_can,0.111
2025-09-06T18:40:07.4100Z,Laptrigger_lapdist_dls,2733.0
2025-09-06T18:40:07.4100Z,pbrake_f,0.0
2025-09-06T18:40:07.4100Z,VBOX_Long_Minutes,-86.62142944335938
2025-09-06T18:40:07.4100Z,Steering_Angle,29.9
2025-09-06T18:40:07.4100Z,aps,50.47
2025-09-06T18:40:07.4100Z,accy_can,1.006
2025-09-06T18:40:07.4100Z,speed,134.62
2025-09-06T18:40:07.4100Z,VBOX_Lat_Min,33.52996826171875
2025-09-06T18:40:07.4100Z,pbrake_r,0.0
2025-09-06T18:40:07.4100Z,nmot,6322.0
2025-09-06T18:40:07.4100Z,gear,3.0
